block,rows,year,region,cells,naps_ids,station_names,target_min,target_mean,target_max,feature_cols,resolved_direct,resolved_translated,resolved_absent,raw_feature_nan_cells,all_nan_feature_count,constant_feature_count
PAIR_2015_Central,2907,2015,Central,8,8,8,0.0,7.821269247997303,38.0,651,213,438,0,27444,3,3
PAIR_2015_East,2177,2015,East,6,6,6,0.0,6.391552697077461,33.458333333333336,651,213,438,0,29252,3,3
PAIR_2015_North,1809,2015,North,5,5,5,0.0,5.977291705034106,32.166666666666664,651,213,438,0,76801,3,3
PAIR_2015_Toronto,1813,2015,Toronto,5,5,5,0.375,8.839728560781571,39.041666666666664,651,213,438,0,15219,3,4
PAIR_2015_West_NH,2542,2015,West_NH,7,7,7,0.625,8.900742722298228,37.041666666666664,651,213,438,0,116367,3,3
PAIR_2015_West_SW,2900,2015,West_SW,8,8,8,0.0,8.260708799512765,42.25,651,213,438,0,172347,3,3
PAIR_2016_Central,1463,2016,Central,4,4,4,0.0,6.748578538659155,24.375,651,213,438,0,11692,3,3
PAIR_2016_East,2194,2016,East,6,7,7,-0.125,5.6103895496774125,30.791666666666668,651,213,438,0,28193,3,3
PAIR_2016_North,1500,2016,North,5,5,5,0.16666666666666666,4.957284480709138,16.583333333333332,651,213,438,0,74102,3,3
PAIR_2016_Toronto,1825,2016,Toronto,5,5,5,0.20833333333333334,7.287530076927627,28.25,651,213,438,0,13978,3,4
PAIR_2016_West_NH,2165,2016,West_NH,6,6,6,0.0,7.42948552142044,29.041666666666668,651,213,438,0,64964,3,3
PAIR_2016_West_SW,2092,2016,West_SW,6,6,6,-0.25,7.309425808603187,23.541666666666668,651,213,438,0,149722,3,3
PAIR_2017_Central,2915,2017,Central,8,8,8,-0.4166666666666667,6.394300870264839,37.916666666666664,651,213,438,0,26355,3,3
PAIR_2017_East,2175,2017,East,6,6,6,-0.20833333333333334,5.470514251908785,28.291666666666668,651,213,438,0,28994,3,3
PAIR_2017_North,1820,2017,North,5,5,5,-0.5833333333333334,4.8381727317368535,21.791666666666668,651,213,438,0,79549,3,3
PAIR_2017_Toronto,1817,2017,Toronto,5,5,5,0.4583333333333333,7.540944194129172,28.727272727272727,651,213,438,0,14171,3,6
PAIR_2017_West_NH,2550,2017,West_NH,7,8,8,0.25,7.237751114794903,27.666666666666668,651,213,438,0,115660,3,3
PAIR_2017_West_SW,3115,2017,West_SW,9,9,9,-0.5,6.664564146620044,32.166666666666664,651,213,438,0,201127,3,3
PAIR_2018_Central,2885,2018,Central,8,8,8,-0.16666666666666666,6.808553153860035,32.208333333333336,651,213,438,0,28306,2,2
PAIR_2018_East,2189,2018,East,6,6,6,-0.08333333333333333,5.685663252456647,27.166666666666668,651,213,438,0,29559,2,2
PAIR_2018_North,1822,2018,North,5,5,5,0.0,5.4609832136511365,52.458333333333336,651,213,438,0,79196,2,2
PAIR_2018_Toronto,1820,2018,Toronto,5,5,5,-1.4583333333333333,7.712611927654607,34.041666666666664,651,213,438,0,16225,2,3
PAIR_2018_West_NH,2542,2018,West_NH,7,8,8,0.08333333333333333,7.733691682371685,32.791666666666664,651,213,438,0,118154,2,2
PAIR_2018_West_SW,3267,2018,West_SW,9,9,9,0.0,7.115455438643001,31.125,651,213,438,0,226473,2,2
PAIR_2019_Central,3276,2019,Central,9,9,9,-0.4166666666666667,6.555599809845345,33.916666666666664,651,213,438,0,30143,2,2
PAIR_2019_East,2179,2019,East,6,6,6,-0.08333333333333333,5.5196676549460975,30.583333333333332,651,213,438,0,28345,2,2
PAIR_2019_North,1825,2019,North,5,5,5,-0.08333333333333333,4.741389197845854,23.833333333333332,651,213,438,0,78470,2,2
PAIR_2019_Toronto,1824,2019,Toronto,5,8,8,0.125,7.3504526048437135,32.083333333333336,651,213,438,0,15352,2,3
PAIR_2019_West_NH,2552,2019,West_NH,7,7,7,0.25,7.3836815872486286,30.875,651,213,438,0,117146,2,2
PAIR_2019_West_SW,3281,2019,West_SW,9,9,9,-1.0,6.881305024195168,38.04347826086956,651,213,438,0,225136,2,2
PAIR_2020_Central,3281,2020,Central,9,9,9,0.125,6.259160021675172,31.666666666666668,651,213,438,0,27705,2,3
PAIR_2020_East,2185,2020,East,6,6,6,0.0,5.613457877215343,27.333333333333332,651,213,438,0,25423,2,3
PAIR_2020_North,1830,2020,North,5,5,5,0.08333333333333333,4.804496241494685,19.833333333333332,651,213,438,0,76317,2,3
PAIR_2020_Toronto,1824,2020,Toronto,5,5,5,0.08333333333333333,7.002011109911841,40.0,651,213,438,0,14118,2,4
PAIR_2020_West_NH,2559,2020,West_NH,7,7,7,0.25,6.893369607052577,33.0,651,213,438,0,115643,2,3
PAIR_2020_West_SW,3278,2020,West_SW,9,9,9,0.125,6.571918918318212,31.916666666666668,651,213,438,0,221564,2,3
PAIR_2021_Central,3280,2021,Central,9,9,9,0.0,6.771800506651576,57.0,651,213,438,0,27762,2,2
PAIR_2021_East,2180,2021,East,6,6,6,0.0,5.996522951133659,37.666666666666664,651,213,438,0,25658,2,2
PAIR_2021_North,1825,2021,North,5,5,5,0.0,5.7687091181429935,52.166666666666664,651,213,438,0,75303,2,2
PAIR_2021_Toronto,1820,2021,Toronto,5,5,5,0.3333333333333333,7.863605835490093,58.666666666666664,651,213,438,0,13825,2,3
PAIR_2021_West_NH,2541,2021,West_NH,7,8,8,0.08333333333333333,7.583064387504883,35.833333333333336,651,213,438,0,114937,2,2
PAIR_2021_West_SW,3259,2021,West_SW,9,9,9,0.0,7.3616691323334456,28.916666666666668,651,213,438,0,219168,2,2
PAIR_2022_Central,3280,2022,Central,9,9,9,0.0,6.354249010921589,72.875,651,213,438,0,29138,2,3
PAIR_2022_East,1824,2022,East,6,6,6,0.0,5.9623809805881605,28.125,651,213,438,0,21321,2,3
PAIR_2022_North,1825,2022,North,5,5,5,0.0,4.883944999107793,18.958333333333332,651,213,438,0,77252,2,3
PAIR_2022_Toronto,1812,2022,Toronto,5,5,5,0.041666666666666664,7.213830457892827,33.041666666666664,651,213,438,0,14767,2,4
PAIR_2022_West_NH,2548,2022,West_NH,7,8,8,0.0,6.888456336522165,34.75,651,213,438,0,116617,2,3
PAIR_2022_West_SW,3248,2022,West_SW,9,9,9,0.0,6.871673215498612,31.083333333333332,651,213,438,0,220272,2,3
PAIR_2023_Central,3280,2023,Central,9,9,9,0.0,8.442340250493372,126.58333333333333,651,213,438,0,28843,2,2
PAIR_2023_East,1818,2023,East,5,5,5,0.4583333333333333,8.202808378765454,204.08333333333334,651,213,438,0,20190,2,2
PAIR_2023_North,1631,2023,North,5,5,5,0.0,7.852165156579293,400.2916666666667,651,213,438,0,72489,2,2
PAIR_2023_Toronto,1701,2023,Toronto,5,6,6,0.625,9.202526705579881,103.25,651,213,438,0,13714,2,3
PAIR_2023_West_NH,2546,2023,West_NH,7,7,7,0.4166666666666667,9.166457151864776,106.25,651,213,438,0,115273,2,2
PAIR_2023_West_SW,3226,2023,West_SW,9,9,9,0.3333333333333333,9.512576712434184,141.16666666666666,651,213,438,0,215785,2,2
